RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name,Event,Goal,Yellow Card,Red Card,GoalsScored,IsCaptain,PlayerPosition
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Alex THEPOT,No Event,False,False,False,0,False,Goalkeeper
201,1096,MEX,LUQUE Juan (MEX),S,0,Oscar BONFIGLIO,No Event,False,False,False,0,False,Goalkeeper
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel LANGILLER,G40',True,False,False,1,False,Line Player
201,1096,MEX,LUQUE Juan (MEX),S,0,Juan CARRENO,G70',True,False,False,1,False,Line Player
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Ernest LIBERATI,No Event,False,False,False,0,False,Line Player
201,1096,MEX,LUQUE Juan (MEX),S,0,Rafael GARZA,No Event,False,False,False,0,True,Line Player
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Andre MASCHINOT,G43' G87',True,False,False,2,False,Line Player
201,1096,MEX,LUQUE Juan (MEX),S,0,Hilario LOPEZ,No Event,False,False,False,0,False,Line Player
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Etienne MATTLER,No Event,False,False,False,0,False,Line Player
201,1096,MEX,LUQUE Juan (MEX),S,0,Dionisio MEJIA,No Event,False,False,False,0,False,Line Player
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel PINEL,No Event,False,False,False,0,False,Line Player
201,1096,MEX,LUQUE Juan (MEX),S,0,Felipe ROSAS,No Event,False,False,False,0,False,Line Player
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Alex VILLAPLANE,No Event,False,False,False,0,True,Line Player
201,1096,MEX,LUQUE Juan (MEX),S,0,Manuel ROSAS,No Event,False,False,False,0,False,Line Player
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Lucien LAURENT,G19',True,False,False,1,False,Line Player
201,1096,MEX,LUQUE Juan (MEX),S,0,Jose RUIZ,No Event,False,False,False,0,False,Line Player
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Marcel CAPELLE,No Event,False,False,False,0,False,Line Player
201,1096,MEX,LUQUE Juan (MEX),S,0,Alfredo SANCHEZ,No Event,False,False,False,0,False,Line Player
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Augustin CHANTREL,No Event,False,False,False,0,False,Line Player
201,1096,MEX,LUQUE Juan (MEX),S,0,Efrain AMEZCUA,No Event,False,False,False,0,False,Line Player
201,1096,FRA,CAUDRON Raoul (FRA),S,0,Edmond DELFOUR,No Event,False,False,False,0,False,Line Player
201,1096,MEX,LUQUE Juan (MEX),S,0,Luis PEREZ,No Event,False,False,False,0,False,Line Player
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Celestin DELMER,No Event,False,False,False,0,False,Line Player
201,1096,MEX,LUQUE Juan (MEX),N,0,Isidoro SOTA,No Event,False,False,False,0,False,Line Player
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Andre TASSIN,No Event,False,False,False,0,False,Line Player
201,1096,MEX,LUQUE Juan (MEX),N,0,Jesus CASTRO,No Event,False,False,False,0,False,Line Player
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Nouma ANDOIRE,No Event,False,False,False,0,False,Line Player
201,1096,MEX,LUQUE Juan (MEX),N,0,Felipe OLIVARES,No Event,False,False,False,0,False,Line Player
201,1096,FRA,CAUDRON Raoul (FRA),N,0,Jean LAURENT,No Event,False,False,False,0,False,Line Player
201,1096,MEX,LUQUE Juan (MEX),N,0,Raimundo RODRIGUEZ,No Event,False,False,False,0,False,Line Player
